name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
Afterhours - Pub,3.9,"The Maureen,",Baguiati,"1,800 for 2 (approx)",Finger Food,Fast Food,Chinese
The Kitchen,4.0,Jessore Road,24 Parganas North,600 for 2 (approx),North Indian,Chinese,Thai
Orkos Restaurant,3.9,"Regenta Orkos Hotel,",Kasba,"1,500 for 2 (approx)",Chinese,North Indian,Bengali
Bedouin - Sher E Bengal,3.8,Rashbehari Avenue,South Kolkata,800 for 2 (approx),Bengali,North Indian,Chinese
Hatari,4.4,Rashbehari Avenue,South Kolkata,"1,000 for 2 (approx)",Chinese,Seafood,North Indian
Tribe,4.0,Golpark,South Kolkata,"1,100 for 2 (approx)",Continental,Fast Food,Italian
Marina Creek,4.3,Gariahat,South Kolkata,600 for 2 (approx),Fast Food,Pizza,American
The Dayroom Cafe,4.2,Gariahat,South Kolkata,700 for 2 (approx),Continental,Italian,Thai
Flavourable,4.0,Desapriya Park,South Kolkata,800 for 2 (approx),Continental,North Indian,Chinese
The Chaiwala,4.4,Hindustan Park,South Kolkata,600 for 2 (approx),Fast Food,Tea,Desserts
Mystic Yoga Cafe,4.1,Golpark,South Kolkata,500 for 2 (approx),Health Food,Tea,Continental
Wasabee,4.0,Desapriya Park,South Kolkata,"1,500 for 2 (approx)",Chinese,Japanese,Asian
Tamarind,4.2,Kalighat,South Kolkata,"1,000 for 2 (approx)",South Indian,Andhra,North Indian
Green Chillyz,4.0,Hazra,South Kolkata,400 for 2 (approx),North Indian,Chinese,Mughlai
The Green House,4.3,Gariahat,South Kolkata,"1,000 for 2 (approx)",North Indian,Chinese,Fast Food
The Manifest,4.4,Kasba,South Kolkata,800 for 2 (approx),Continental,Chinese,Asian
Burnt Garlic,4.3,Kalighat,South Kolkata,"2,100 for 2 (approx)",European,Asian,Continental
Suufiyana,4.3,Kalighat,South Kolkata,800 for 2 (approx),North Indian,Mughlai,Chinese
Indthalia,3.5,Hindustan Park,South Kolkata,"1,000 for 2 (approx)",Continental,Chinese,North Indian
Kafe 9,3.6,Golpark,South Kolkata,"1,000 for 2 (approx)",Chinese,Continental,Fast Food
Potboiler Coffee House,4.1,Kalighat,South Kolkata,700 for 2 (approx),Fast Food,Desserts,Beverages
Honey Da Dhaba,4.2,Kasba,South Kolkata,600 for 2 (approx),North Indian,Chinese,Thai
Cafe Buddy's Espresso,4.0,Ballygunge,South Kolkata,900 for 2 (approx),Beverages,Continental,Italian
Zucca Lounge,4.0,Southern Avenue,South Kolkata,"1,900 for 2 (approx)",Chinese,Continental,Italian
Oudh 1590,4.3,Kalighat,South Kolkata,"1,400 for 2 (approx)",Mughlai,Biryani,Awadhi
Vault,4.0,Desapriya Park,South Kolkata,"2,500 for 2 (approx)",Finger Food,Fast Food,Continental
Ozora,4.0,"Acropolis Mall,",Kasba,"2,400 for 2 (approx)",North Indian,Continental,Italian
Oudh 1590,4.4,Southern Avenue,South Kolkata,"1,400 for 2 (approx)",Mughlai,Biryani,Awadhi
Cheeni Kum Lounge & Bar,4.0,"Hotel Narayani Enclave,",Kasba,"1,300 for 2 (approx)",Chinese,North Indian,Continental
Indthalia,4.3,Southern Avenue,South Kolkata,"1,000 for 2 (approx)",Chinese,Italian,Beverages
Bijoli Grill,4.2,Southern Avenue,South Kolkata,700 for 2 (approx),Bengali,Chinese,Continental
Fusion Fantasea,4.4,Southern Avenue,South Kolkata,"1,000 for 2 (approx)",Seafood,Bengali,Mangalorean
La Trio Pizza,4.1,Southern Avenue,South Kolkata,600 for 2 (approx),Pizza,Beverages,Fast Food
7-Eleven,3.8,Kasba,South Kolkata,500 for 2 (approx),Fast Food,Beverages,Desserts
Captain's Deck Bar and Grill,3.8,Southern Avenue,South Kolkata,"2,500 for 2 (approx)",Chinese,Continental,North Indian
Salaam Namaste,4.0,Sarat Bose Road,South Kolkata,500 for 2 (approx),Chinese,North Indian,Fast Food
The Dugout,4.4,Southern Avenue,South Kolkata,"1,200 for 2 (approx)",Chinese,North Indian,Fast Food
The Canteen By Asia House,4.2,Southern Avenue,South Kolkata,"1,000 for 2 (approx)",Chinese,Thai,Asian
The Royal Bengal Tiger,4.0,Sarat Bose Road,South Kolkata,600 for 2 (approx),Bengali,Street Food,Beverages
Hola,4.2,Southern Avenue,South Kolkata,"1,800 for 2 (approx)",Chinese,North Indian,Italian
Maniac,3.7,Sarat Bose Road,South Kolkata,600 for 2 (approx),North Indian,Chinese,Fast Food
RoadHouzz,4.2,Southern Avenue,South Kolkata,"1,600 for 2 (approx)",North Indian,Continental,Chinese
Wabi Sabi,4.4,Southern Avenue,South Kolkata,"1,400 for 2 (approx)",Chinese,North Indian,Thai
Mynt,4.0,"Vivanta Kolkata EM Bypass,",E M Bypass,"1,600 for 2 (approx)",Bengali,North Indian,Continental
Oceania,4.2,"Southern Plaza Hotel,",Southern Avenue,900 for 2 (approx),Chinese,North Indian,Continental
Chai Break - Alipore,4.4,"The Enclave,",Alipore,800 for 2 (approx),Chinese,Italian,Mexican
Bake & Steam,4.3,Southern Avenue,South Kolkata,"1,500 for 2 (approx)",Continental,North Indian,Beverages
Mintelaa,4.4,"Anant Building,",Alipore,"1,100 for 2 (approx)",Chinese,Continental,North Indian
Chennai Tadka,4.3,"PS Magnum,",Kaikhali,500 for 2 (approx),South Indian,Chinese,Fast Food
Ambrosia Restaurant,4.3,Baranagar,24 Parganas North,800 for 2 (approx),Chinese,Continental,Bengali
Food Per Square Foot,4.2,Kaikhali,24 Parganas North,300 for 2 (approx),Chinese,Fast Food,North Indian
Laa Mozarellla,3.8,New Town,24 Parganas North,900 for 2 (approx),Continental,Italian,Fast Food
The Drunken Monkey,3.9,"O2 VIP Hotel,",Kaikhali,"2,000 for 2 (approx)",Finger Food,North Indian,Chinese
The Square,4.1,"Novotel Kolkata Hotel and Residencies,",New Town,"2,700 for 2 (approx)",Asian,North Indian,Continental
On My Way,3.6,Rajarhat,24 Parganas North,800 for 2 (approx),Chinese,North Indian,Fast Food
Riwaz,4.0,New Town,24 Parganas North,700 for 2 (approx),North Indian,Chinese,Biryani
Quantum - Modern Indian Bistro,4.1,Alipore,South Kolkata,"1,300 for 2 (approx)",North Indian,Chinese,Italian
Venezia,4.1,"O2 VIP Hotel,",Kaikhali,"1,200 for 2 (approx)",North Indian,Chinese,Continental
Club 21,3.6,"Meena Tower,",Rajarhat,"1,000 for 2 (approx)",Chinese,Italian,Continental
Country Roads Micro Brewery And Restaurant,4.4,"DLF Galleria,",New Town,"1,200 for 2 (approx)",Continental,North Indian,Chinese
ZEDD Kitchen,4.3,"The Fern Residency,",Rajarhat,"1,500 for 2 (approx)",Continental,North Indian,Chinese
La Komida,4.4,Kalikapur,South Kolkata,"1,000 for 2 (approx)",Continental,Italian,Chinese
Social Kitchen,3.8,"Holiday Inn Kolkata Airport,",Rajarhat,"3,000 for 2 (approx)",North Indian,Continental,European
MNKY HOUSE,4.0,"DLF Galleria,",New Town,"1,200 for 2 (approx)",North Indian,Italian,Chinese
Republic of Noodles,4.2,"Lemon Tree Premier,",New Town,"1,600 for 2 (approx)",Asian,Chinese,Thai
Monkey Temple,4.1,Jodhpur Park,South Kolkata,800 for 2 (approx),Italian,Tea,Fast Food
Abar Baithak,3.9,Jodhpur Park,South Kolkata,"1,000 for 2 (approx)",Fast Food,Italian,Beverages
Cafe Treat,4.1,"The Pride Hotel,",Rajarhat,"1,500 for 2 (approx)",North Indian,Bengali,Chinese
Spice It,3.7,Rajarhat,24 Parganas North,800 for 2 (approx),North Indian,Chinese,Fast Food
One Sip Restro Cafe,4.0,New Town,24 Parganas North,"1,600 for 2 (approx)",North Indian,Chinese,Italian
Afraa Deli,4.3,"City Centre 2, New Town,",Rajarhat,"1,000 for 2 (approx)",Continental,Beverages,Italian
Mainland China,4.4,"South City Mall,",Jadavpur,"1,200 for 2 (approx)",Chinese,Asian,Thai
Glook The Sky Lounge,3.8,New Town,24 Parganas North,"1,363 for 2 (approx)",Chinese,Continental,North Indian
SodaBottleOpenerWala,4.3,"South City Mall,",Jadavpur,"1,000 for 2 (approx)",Parsi,Iranian,Desserts
Chai Break - CC2,4.1,"City Centre 2, New Town,",Rajarhat,800 for 2 (approx),Chinese,Italian,Mexican
Blue Nile,4.0,"City Centre 2, New Town,",Rajarhat,"1,200 for 2 (approx)",Chinese,North Indian,Continental
The Hubb,3.6,Kalikapur,South Kolkata,700 for 2 (approx),Chinese,Continental,Fast Food
Traffic Gastropub,3.9,"City Centre 2, New Town,",Rajarhat,"2,100 for 2 (approx)",North Indian,Chinese,Italian
Bohemian Cafe,3.7,Prince Anwar Shah Road,South Kolkata,700 for 2 (approx),Chinese,Fast Food,Beverages
Blue Nile Lounge,3.7,"City Centre 2, New Town,",Rajarhat,"1,800 for 2 (approx)",Finger Food,North Indian,Chinese
Scrapyard Brewing Co.,3.6,"South City Mall,",Jadavpur,"1,500 for 2 (approx)",North Indian,Italian,Continental
6 Ballygunge Place,4.4,New Town,24 Parganas North,900 for 2 (approx),Bengali,Beverages,Desserts
Sphinx Hookah Lounge,4.3,Dumdum,24 Parganas North,800 for 2 (approx),North Indian,Chinese,Continental
Angie's Cafe,3.9,Prince Anwar Shah Road,South Kolkata,"1,200 for 2 (approx)",Continental,Italian,Fast Food
Crossroad Cafe,4.2,Tollygunge,South Kolkata,800 for 2 (approx),Chinese,Pizza,Continental
Kava,3.9,"Fairfield by Marriott,",New Town,"2,500 for 2 (approx)",North Indian,Chinese,Continental
Chowman,4.2,Golf Green,South Kolkata,"1,000 for 2 (approx)",Chinese,Asian,Thai
The Nest Cafe,3.9,Jadavpur,South Kolkata,500 for 2 (approx),Fast Food,Beverages,Chinese
FryDe Cafe,4.0,Belgharia,24 Parganas North,500 for 2 (approx),Pizza,Italian,Fast Food
Bawarchi Family Restaurant,3.6,Jadavpur,South Kolkata,900 for 2 (approx),Chinese,North Indian,Continental
Calcutta Bistro,4.4,Jadavpur,South Kolkata,"1,000 for 2 (approx)",Chinese,North Indian,Continental
Golden Gate,4.0,Jadavpur,South Kolkata,700 for 2 (approx),Chinese,North Indian,Mughlai
Seasonal Tastes,4.3,"The Westin Kolkata Rajarha,",Rajarhat,"2,600 for 2 (approx)",European,Mediterranean,Asian
"31 32, Westin",3.9,"The Westin Kolkata Rajarha,",Rajarhat,"2,200 for 2 (approx)",Finger Food,Italian,North Indian
Kiraanz - Oasis of Taste,4.2,New Town,24 Parganas North,"1,500 for 2 (approx)",Continental,North Indian,Italian
Malt,4.1,New Town,24 Parganas North,"1,100 for 2 (approx)",Modern Indian,North Indian,Fast Food
Airport City Hotel,4.3,Dumdum,24 Parganas North,800 for 2 (approx),Chinese,North Indian,Continental
Haji Ali,4.0,Santoshpur,South Kolkata,600 for 2 (approx),Mughlai,Chinese,North Indian
Calcutta Bakery Cafe,4.2,Baghajatin,South Kolkata,600 for 2 (approx),Chinese,Continental,Asian
The Chaiwala,3.9,Tollygunge,South Kolkata,800 for 2 (approx),Fast Food,Beverages,Desserts
L'Instant Cafe,4.0,Tollygunge,South Kolkata,800 for 2 (approx),Continental,Italian,Desserts
Chai Break - Candor,4.2,Rajarhat,24 Parganas North,800 for 2 (approx),Chinese,Italian,Beverages
Sonamati Restaurant,3.8,Behala,South Kolkata,700 for 2 (approx),Chinese,North Indian,Fast Food
Reflexion,4.3,"The Majestic Suites,",Rajarhat,"1,100 for 2 (approx)",Bengali,Chinese,North Indian
The Seven 14,3.5,"Metropolis Mall,",Santoshpur,800 for 2 (approx),Asian,Chinese,Desserts
The Bongz Resto,3.9,New Town,24 Parganas North,"1,000 for 2 (approx)",Chinese,North Indian,Mughlai
Beans N Barrels,4.1,New Town,24 Parganas North,"1,000 for 2 (approx)",Continental,Fast Food,Chinese
Chufang The Kitchen,4.2,New Town,24 Parganas North,700 for 2 (approx),Chinese,North Indian,Asian
Hotel Royal Height,4.0,Behala,South Kolkata,"1,200 for 2 (approx)",Chinese,Continental,North Indian
Ice Choco Cafe,3.6,Tollygunge,South Kolkata,600 for 2 (approx),Chinese,Burger,Fast Food
Chowman,4.2,Garia,South Kolkata,"1,000 for 2 (approx)",Chinese,Asian,Thai
Oudh 1590,4.2,Naktala,South Kolkata,"1,400 for 2 (approx)",Mughlai,Biryani,Awadhi
Dunes Cafe,4.1,Garia,South Kolkata,700 for 2 (approx),Chinese,North Indian,Continental
Yuan,3.9,Garia,South Kolkata,800 for 2 (approx),Chinese,Thai,Asian
Arhaam Rasoi,3.7,"Uniworld Downtown Mall,",New Town,800 for 2 (approx),Chinese,North Indian,Bengali
Savour N Chillers,3.5,Tollygunge,South Kolkata,700 for 2 (approx),Chinese,North Indian,Seafood
Chowman,4.3,Sodepur,24 Parganas North,"1,000 for 2 (approx)",Chinese,Asian,Thai
Oudh 1590,4.3,Sodepur,24 Parganas North,"1,000 for 2 (approx)",Mughlai,Biryani,Awadhi
Oudh 1590,3.9,Behala,South Kolkata,"1,000 for 2 (approx)",Mughlai,Biryani,Awadhi
Benjamin Bangalee,4.4,Thakurpukur,South Kolkata,600 for 2 (approx),Bengali,North Indian,Chinese
Yagna,4.3,"The Vedic Village,",Rajarhat,"1,000 for 2 (approx)",Finger Food,North Indian,Continental
Beer Station,3.6,"Star Mall,",Madhyamgram,"1,400 for 2 (approx)",North Indian,Italian,Fast Food
Take A Break,3.7,Barasat,24 Parganas North,400 for 2 (approx),Chinese,Mughlai,North Indian
Momo I Am,4.0,Barrackpore,24 Parganas North,800 for 2 (approx),Tibetan,Chinese,Japanese
Viva,4.0,"Holiday Inn Resort,",Kona Expressway,"2,000 for 2 (approx)",Continental,North Indian,Asian
Azad Hind Dhaba,3.7,Howrah,Howrah,800 for 2 (approx),North Indian,Chinese,Mughlai
Citrus Cafe,3.6,"Lemon Tree Premier,",New Town,"1,600 for 2 (approx)",Continental,North Indian,Bengali
Avoir,4.2,Kankurgachhi,East Kolkata,"1,000 for 2 (approx)",Chinese,North Indian,Fast Food
The Loop Cafe and Restaurant,4.3,Kankurgachhi,East Kolkata,"1,000 for 2 (approx)",Italian,Chinese,Fast Food
Let's Hangout,3.8,Kankurgachhi,East Kolkata,"1,200 for 2 (approx)",Continental,Italian,North Indian
The Insta Cafe,4.0,Maniktala,North Kolkata,500 for 2 (approx),Chinese,North Indian,Continental
Kitchen 5,3.8,Bidhan Sarani,North Kolkata,900 for 2 (approx),Chinese,North Indian,Continental
Arsalan,4.3,Hati Bagan,North Kolkata,700 for 2 (approx),Biryani,Mughlai,North Indian
Chapter 2,4.3,"Mani Square,",Kankurgachhi,"1,500 for 2 (approx)",Continental,Chinese,Seafood
Mio Amore Restaurant,4.1,"Mani Square,",Kankurgachhi,"1,500 for 2 (approx)",Italian,Mediterranean,European
Drumstick,4.3,Beliaghata,East Kolkata,800 for 2 (approx),Chinese,North Indian,Bengali
The New Normal Cafe And Kitchen,4.0,Salt Lake,East Kolkata,500 for 2 (approx),Chinese,North Indian,Italian
KK's Fusion,4.2,Kankurgachhi,East Kolkata,"1,300 for 2 (approx)",North Indian,Italian,Chinese
Beer Republic,4.4,Kankurgachhi,East Kolkata,"2,600 for 2 (approx)",Finger Food,Continental,North Indian
Anand Restaurant,4.3,Chandni Chowk,Central Kolkata,600 for 2 (approx),South Indian,Desserts,Beverages
Silver Nest,4.0,"Hotel Executive Tower,",Entally,800 for 2 (approx),Chinese,Mughlai,North Indian
Embassy Bar & Restaurant,4.0,Chandni Chowk,Central Kolkata,800 for 2 (approx),Finger Food,North Indian,Chinese
Duke Restaurant And Bar,4.0,Chandni Chowk,Central Kolkata,800 for 2 (approx),North Indian,Chinese,Seafood
Amber,4.1,Esplanade,Central Kolkata,"1,500 for 2 (approx)",North Indian,Continental,Mughlai
Limelight Restaurant & Bar,4.3,B B D Bagh,Central Kolkata,800 for 2 (approx),Chinese,North Indian,Fast Food
Manthan,4.1,Esplanade,Central Kolkata,900 for 2 (approx),North Indian,Chinese,Mughlai
Baker's Nest,4.0,Salt Lake,East Kolkata,"1,000 for 2 (approx)",Continental,Fast Food,Beverages
Threesixtythree,4.4,"The Oberoi Grand,",Esplanade,"3,600 for 2 (approx)",Bengali,Mediterranean,North Indian
Tava,3.7,"Hotel Shalimar,",Esplanade,"1,300 for 2 (approx)",Finger Food,Chinese,Mughlai
New Cathay Bar & Restaurant,4.1,Chowringhee,Central Kolkata,"1,800 for 2 (approx)",Chinese,Continental,Thai
Burger King,4.0,"City Center 1 Shopping Mall,",Bidhannagar,500 for 2 (approx),Fast Food,Burger,American
Hindustan Bar And Restaurant,4.0,Esplanade,Central Kolkata,900 for 2 (approx),Finger Food,Chinese,Mughlai
Big Boss,4.2,Tangra,East Kolkata,"1,500 for 2 (approx)",Chinese,Seafood,Beverages
The Kitchen,4.4,Lake Town,East Kolkata,900 for 2 (approx),Asian,Continental,Italian
Bon Appetit - The Cafe,3.7,Salt Lake,East Kolkata,500 for 2 (approx),Continental,Desserts,Italian
Sigree Global Grill,4.4,"Silver Arcade,",JBS Haldane Avenue,"1,500 for 2 (approx)",North Indian,Biryani,Italian
Marco Polo,4.3,"Park Center Building,",Park Street,"1,700 for 2 (approx)",Chinese,North Indian,Continental
M Bar Kitchen,4.0,Park Street,Central Kolkata,"2,300 for 2 (approx)",Italian,European,Fusion
Grand Market Pavilion,4.3,"ITC Royal Bengal,",Tangra,"3,500 for 2 (approx)",North Indian,Chinese,Continental
Olypub,3.5,Park Street,Central Kolkata,"1,400 for 2 (approx)",Chinese,North Indian,Beverages
Masque Lounge & Bar,3.5,"Silver Arcade,",JBS Haldane Avenue,"1,700 for 2 (approx)",Finger Food,North Indian,Chinese
The Bang Onn Cafe,4.3,Bangur Avenue,24 Parganas North,600 for 2 (approx),Chinese,Fast Food,Italian
Shiraz Golden Restaurant,3.5,Park Circus,South Kolkata,800 for 2 (approx),Hyderabadi,Mughlai,North Indian
Eden Pavilion,4.2,"ITC Sonar, Kolkata,",JBS Haldane Avenue,"5,000 for 2 (approx)",Continental,South Indian,North Indian
Arsalan,3.6,Park Street,Central Kolkata,700 for 2 (approx),Biryani,Mughlai,North Indian
Chai Break,4.3,Camac Street,Central Kolkata,900 for 2 (approx),Chinese,Italian,Beverages
Gabbar's Bar & Kitchen,4.4,Ho Chi Minh Sarani,Central Kolkata,"2,000 for 2 (approx)",Chinese,North Indian,Italian
Zeeshan,4.0,Ballygunge,South Kolkata,500 for 2 (approx),North Indian,Chinese,Mughlai
Chili's American Grill and Bar,4.3,"Quest Mall,",Ballygunge,"1,500 for 2 (approx)",American,Mexican,Tex Mex
Dhuaa - The Smoke Hub,4.0,Shakespeare Sarani,Central Kolkata,700 for 2 (approx),Chinese,Continental,Fast Food
Encode,4.4,"Fort Knox Mall,",Camac Street,"2,000 for 2 (approx)",Continental,Italian,North Indian
Elahi Luxury Dining,3.6,Park Circus,South Kolkata,900 for 2 (approx),Awadhi,Mughlai,North Indian
Haveli,4.1,"The Saltee,",Salt Lake,"1,200 for 2 (approx)",North Indian,Desserts,Chinese
Cafe Lounge,4.0,"The Senator Hotel,",Camac Street,"1,200 for 2 (approx)",Fast Food,Chinese,Continental
Olive,3.8,"Hotel Niharika,",Minto Park,"1,500 for 2 (approx)",North Indian,Chinese,Continental
Cafe 377,4.2,Elgin Road,South Kolkata,"1,100 for 2 (approx)",Italian,North Indian,Chinese
Courting Coffees,4.0,Salt Lake,East Kolkata,900 for 2 (approx),Fast Food,Italian,Continental
Amour Factory Bar,4.1,Chowringhee,Central Kolkata,"1,500 for 2 (approx)",Chinese,North Indian,Continental
Standby,4.0,AJC Bose Road,South Kolkata,700 for 2 (approx),Chinese,Fast Food,Italian
Jam House,3.7,Chowringhee,Central Kolkata,"1,200 for 2 (approx)",North Indian,Continental,Chinese
Kurry 'n' Kebab,3.9,Salt Lake,East Kolkata,700 for 2 (approx),Chinese,North Indian,South Indian
I Love Haldiram,3.7,Chowringhee,Central Kolkata,400 for 2 (approx),Street Food,Chinese,Fast Food
Gupta Brothers,3.7,Ballygunge,South Kolkata,500 for 2 (approx),Desserts,North Indian,Italian
My Big Fat Belly,4.4,Sarat Bose Road,South Kolkata,600 for 2 (approx),Italian,Continental,European
BB's Restaurant,3.6,"Millenium City IT Park,",Salt Lake,"1,200 for 2 (approx)",North Indian,Chinese,Mughlai
Oh My Fry,4.0,Bhawanipur,South Kolkata,300 for 2 (approx),Fast Food,Italian,Chinese
Hotel Taaj,4.2,Nagerbazar,24 Parganas North,900 for 2 (approx),North Indian,Chinese,Mughlai
Jai Hind Dhaba,3.9,Bhawanipur,South Kolkata,700 for 2 (approx),North Indian,Mughlai,Chinese
Preach,4.1,"PS Srijan Corporate Park,",Salt Lake,"1,400 for 2 (approx)",North Indian,Chinese,Continental
The Floresta Restaurant,3.6,Baguiati,24 Parganas North,600 for 2 (approx),Chinese,North Indian,Continental
The Cric World,3.8,Baranagar,24 Parganas North,600 for 2 (approx),Chinese,North Indian,Seafood
Smoke Shack,4.1,"The Claridale,",Ballygunge,"3,000 for 2 (approx)",North Indian,Continental,Mediterranean
Guru's Restaurant,4.0,Kasba,South Kolkata,600 for 2 (approx),Chinese,Mughlai,North Indian
China White's,4.1,Gariahat,South Kolkata,"1,200 for 2 (approx)",Chinese,North Indian,Seafood
The Breakfast,4.0,Kasba,South Kolkata,600 for 2 (approx),American,Italian,Continental
The Coastal Macha,4.3,Gariahat,South Kolkata,"1,200 for 2 (approx)",Chinese,Goan,Konkani
Coffee,4.0,Baguiati,24 Parganas North,500 for 2 (approx),Fast Food,Italian,Chinese
Arsalan,3.9,Kasba,South Kolkata,700 for 2 (approx),Biryani,Mughlai,North Indian
Punjabee Rasoi,4.3,Kasba,South Kolkata,"1,000 for 2 (approx)",North Indian,Mughlai,Biryani
Wise Owl,4.3,Hindustan Park,South Kolkata,"1,000 for 2 (approx)",Continental,Italian,Fast Food
Bon Appetit - The Cafe,3.8,Hazra,South Kolkata,500 for 2 (approx),Continental,Desserts,Tea
Spicery By Sigree,4.4,"Acropolis Mall,",Kasba,"1,100 for 2 (approx)",North Indian,Mughlai,Fast Food
Ong Bong Chong,4.0,Golpark,South Kolkata,400 for 2 (approx),Chinese,Mughlai,North Indian
Maach Machli & More,4.0,Hindustan Park,South Kolkata,900 for 2 (approx),Continental,European,Asian
Chili's American Grill and Bar,4.3,"Acropolis Mall,",Kasba,"1,500 for 2 (approx)",American,Mexican,Tex Mex
Matargashti By F.R.I.E.N.D.S Cafe,3.8,Desapriya Park,South Kolkata,700 for 2 (approx),Fast Food,Italian,Chinese
The Cafe Store,4.0,Golpark,South Kolkata,600 for 2 (approx),Tea,Continental,Desserts
India Restaurant,4.3,Kidderpore,West Kolkata,800 for 2 (approx),North Indian,Chinese,Desserts
Burger King,4.0,"Acropolis Mall,",Kasba,500 for 2 (approx),Fast Food,Burger,American
Bachan's Dhaba,4.0,Kalighat,South Kolkata,500 for 2 (approx),North Indian,Chinese,Fast Food
The Daily,4.2,Desapriya Park,South Kolkata,"1,000 for 2 (approx)",Continental,Italian,Fast Food
The Canteen By Asia House,4.3,Southern Avenue,South Kolkata,"1,400 for 2 (approx)",Asian,Chinese,Seafood
Barbeque Nation,4.3,"Lake Mall,",Rashbehari Avenue,"2,000 for 2 (approx)",North Indian,Continental,Chinese
Marco Polo,4.4,Sarat Bose Road,South Kolkata,"1,500 for 2 (approx)",Chinese,Continental,North Indian
The Steak Factory,4.3,Southern Avenue,South Kolkata,"1,200 for 2 (approx)",Continental,North Indian,Desserts
Taste-Ride,4.0,Southern Avenue,South Kolkata,800 for 2 (approx),North Indian,Bengali,Chinese
Zeeshan,3.5,Desapriya Park,South Kolkata,500 for 2 (approx),North Indian,Chinese,Mughlai
I Love Haldiram,4.2,Kaikhali,24 Parganas North,400 for 2 (approx),Street Food,Chinese,Fast Food
Tandoor House,3.9,Kalighat,South Kolkata,600 for 2 (approx),Chinese,North Indian,Mughlai
Desi Lane,4.1,"The Enclave,",Alipore,"1,800 for 2 (approx)",North Indian,Chinese,Continental
Koshe Kosha,4.0,Rajarhat,24 Parganas North,800 for 2 (approx),Bengali,Mughlai,Desserts
Beans & Roots,4.0,Kalighat,South Kolkata,800 for 2 (approx),Continental,North Indian,Asian
Blue Mug,4.4,Jodhpur Park,South Kolkata,700 for 2 (approx),Fast Food,Chinese,Health Food
Tandoor Park,4.1,Dhakuria,South Kolkata,"1,000 for 2 (approx)",North Indian,Chinese,Biryani
The New Town Dhaba,4.0,New Town,24 Parganas North,800 for 2 (approx),Chinese,North Indian,Mughlai
Lokaahar,4.0,Jodhpur Park,South Kolkata,700 for 2 (approx),Bengali,Chinese,Continental
Spice of Joy,4.0,Dhakuria,South Kolkata,"1,300 for 2 (approx)",Chinese,North Indian,Seafood
Kanteenwala,4.3,Kalikapur,South Kolkata,500 for 2 (approx),North Indian,Biryani,Chinese
Snacking,4.4,Prince Anwar Shah Road,South Kolkata,"1,300 for 2 (approx)",Continental,Chinese,Italian
Chili's American Grill and Bar,4.4,"South City Mall,",Jadavpur,"1,500 for 2 (approx)",American,Mexican,Tex Mex
The Taste Maker,3.5,Jodhpur Park,South Kolkata,700 for 2 (approx),Asian,Chinese,Thai
Arsalan,3.6,New Alipore,South Kolkata,700 for 2 (approx),Biryani,Mughlai,North Indian
Bellagio,4.0,Jadavpur,South Kolkata,800 for 2 (approx),Italian,Biryani,Chinese
Denzong Kitchen,4.2,Jadavpur,South Kolkata,600 for 2 (approx),Chinese,Asian,Tibetan
Denzong Kitchen,3.8,Tollygunge,South Kolkata,600 for 2 (approx),Chinese,Asian,Tibetan
Valley Restaurant Cum Bar,3.5,Ajoy Nagar,South Kolkata,"1,500 for 2 (approx)",Chinese,Continental,North Indian
Illusion,3.5,"Metropolis Mall,",Santoshpur,"1,800 for 2 (approx)",North Indian,Chinese,Continental
Hola!,4.3,"Rosedale Plaza,",New Town,800 for 2 (approx),Chinese,North Indian,South Indian
The Gourmet Club,4.3,Naktala,South Kolkata,500 for 2 (approx),Chinese,Seafood,Asian
Jadu Kadai,3.6,Behala,South Kolkata,600 for 2 (approx),North Indian,Mughlai,Chinese
Chilli Garlic,3.6,Behala,South Kolkata,600 for 2 (approx),Chinese,Tibetan,Seafood
The Glass House,4.0,Barasat,24 Parganas North,700 for 2 (approx),Chinese,Continental,North Indian
Dada Boudi Restaurant,4.3,Barrackpore,24 Parganas North,550 for 2 (approx),Biryani,North Indian,Chinese
Bachan's Dhaba,4.0,Kalighat,South Kolkata,800 for 2 (approx),North Indian,Mughlai,Chinese
