name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
Lebanese Junction,,Hati Bagan,North Kolkata,700 for 2 (approx),Lebanese,Continental,
Pepper Town,,Bidhannagar,East Kolkata,900 for 2 (approx),Continental,North Indian,Chinese
Lords Restaurant,,Ultadanga,North Kolkata,"1,500 for 2 (approx)",Chinese,North Indian,Asian
Petuk Kolkata,,Hati Bagan,North Kolkata,500 for 2 (approx),Chinese,North Indian,
The Scoop,,Hati Bagan,North Kolkata,800 for 2 (approx),Fast Food,Chinese,South Indian
Sabir's Hotel,,Chandni Chowk,Central Kolkata,500 for 2 (approx),North Indian,Mughlai,
"The Swig - Raajkutir, Swabhumi",3.6,Kankurgachhi,East Kolkata,"1,500 for 2 (approx)",Finger Food,North Indian,Beverages
The French Loaf,4.3,Salt Lake,East Kolkata,400 for 2 (approx),Desserts,Fast Food,
The Library,4.4,"De Sovrani,",Salt Lake,"1,700 for 2 (approx)",Finger Food,North Indian,
Soul Kitchen,3.6,Kankurgachhi,East Kolkata,"1,000 for 2 (approx)",Continental,North Indian,Chinese
Calcutta 4,3.9,Shyambazar,North Kolkata,200 for 2 (approx),Biryani,Fast Food,
The Melting Pot,4,Bidhannagar,East Kolkata,900 for 2 (approx),Continental,Beverages,
Raadium Cafe,3.5,Kankurgachhi,East Kolkata,800 for 2 (approx),Chinese,North Indian,Fast Food
Icy Fusion,4.4,Salt Lake,East Kolkata,300 for 2 (approx),Desserts,,
Sareens,,Salt Lake,East Kolkata,"1,800 for 2 (approx)",North Indian,Asian,Continental
The Bhoj Company,4.3,B B D Bagh,Central Kolkata,600 for 2 (approx),Bengali,Chinese,North Indian
Be Kebabii,4.4,Entally,Central Kolkata,400 for 2 (approx),North Indian,Mughlai,Chinese
Big Phils Masala Pot,3.8,Bowbazar,North Kolkata,600 for 2 (approx),North Indian,Mughlai,
La Cucina,4.3,"Hyatt Regency,",Salt Lake,"3,500 for 2 (approx)",Italian,Continental,
Krazy For Chocolates,,"City Centre 1,",Salt Lake,500 for 2 (approx),Desserts,,
Waterside Cafe,4.2,"Hyatt Regency,",Salt Lake,"3,000 for 2 (approx)",Italian,North Indian,Continental
Cafe Coffee Day,,"City Centre 1,",Salt Lake,900 for 2 (approx),Beverages,Fast Food,
The Yellow Straw,4.4,B B D Bagh,Central Kolkata,300 for 2 (approx),Fast Food,,
Mambo's Recipe,,Taltala,Central Kolkata,500 for 2 (approx),Fast Food,,
Kolkata 46,,Tangra,East Kolkata,800 for 2 (approx),North Indian,Chinese,Fast Food
Dumghan,,Dharmatala,Central Kolkata,500 for 2 (approx),North Indian,Mughlai,Biryani
Easy Bytes,,B B D Bagh,Central Kolkata,700 for 2 (approx),Chinese,North Indian,Fast Food
Monginis,4.4,Tangra,East Kolkata,400 for 2 (approx),Desserts,Fast Food,
Port 15,3.8,Salt Lake,East Kolkata,"1,600 for 2 (approx)",Chinese,North Indian,Continental
Peaberrys,,Dharmatala,Central Kolkata,800 for 2 (approx),Continental,Beverages,
Loafer's Cafe,4.4,"City Centre 1,",Salt Lake,800 for 2 (approx),Continental,Italian,American
The Tea Lounge,,"The Lalit Great Eastern Kolkata,",B B D Bagh,"1,000 for 2 (approx)",Continental,,
Angithi,3.9,"Mayur Residency Hotel,",Taltala,700 for 2 (approx),Chinese,North Indian,Continental
The Bengal Lounge,4.3,B B D Bagh,Central Kolkata,"1,200 for 2 (approx)",Bengali,North Indian,
Cafe Stadia,3.9,Beliaghata,East Kolkata,700 for 2 (approx),North Indian,Chinese,Fast Food
Fly Kouzina,4.4,Salt Lake,East Kolkata,"1,400 for 2 (approx)",North Indian,Continental,
Fabbrica,4.2,"City Centre 1,",Salt Lake,"1,200 for 2 (approx)",Italian,American,
Chai Break Cafe & Bar - CC1,,"City Centre 1,",Salt Lake,"1,000 for 2 (approx)",Chinese,Italian,Beverages
Calcutta 64,4.4,Salt Lake,East Kolkata,800 for 2 (approx),Continental,Italian,Beverages
Fyoom,,Kankurgachhi,East Kolkata,800 for 2 (approx),Finger Food,Fast Food,
Kaafila,4.3,"City Centre 1,",Salt Lake,"1,900 for 2 (approx)",North Indian,Mughlai,
Afraa Lounge & Restaurant,4.1,"City Centre 1,",Salt Lake,"2,100 for 2 (approx)",Asian,Italian,North Indian
Crystal Chimney,3.5,Girish Park,North Kolkata,500 for 2 (approx),Chinese,,
Hodol's,,Bidhannagar,East Kolkata,"1,000 for 2 (approx)",North Indian,Chinese,
Momo I Am,,Salt Lake,East Kolkata,800 for 2 (approx),Japanese,Tibetan,Asian
Zaairah,4.2,Salt Lake,East Kolkata,"1,200 for 2 (approx)",North Indian,Chinese,Italian
Azad Hind Dhaba,,Girish Park,North Kolkata,800 for 2 (approx),North Indian,Chinese,
Zaango,4.1,Salt Lake,East Kolkata,600 for 2 (approx),Gujarati,South Indian,
Dunkel Braun,4.1,Bidhannagar,East Kolkata,"1,000 for 2 (approx)",Fast Food,Continental,
Kouzina Mining Co.,4.3,Salt Lake,East Kolkata,"1,400 for 2 (approx)",Chinese,North Indian,Continental
The Chutney Co.,,"Centre Point,",B B D Bagh,400 for 2 (approx),South Indian,,
Afraa Deli,4,"City Centre 1,",Salt Lake,"1,500 for 2 (approx)",Continental,Italian,European
Piccadilly Square,4.4,"Centre Point,",B B D Bagh,800 for 2 (approx),Continental,Italian,Desserts
MANDALA - The Oriental Kitchen,,Salt Lake,East Kolkata,"1,100 for 2 (approx)",Asian,Chinese,Thai
Food King,,Wellesley,Central Kolkata,500 for 2 (approx),Chinese,,
Aamaze Dhaba,4,Kasba,South Kolkata,800 for 2 (approx),Chinese,North Indian,Bengali
The Orient,4.2,"City Centre 1,",Salt Lake,"2,000 for 2 (approx)",Chinese,Asian,
Swad Bodol,,Lake Town,East Kolkata,600 for 2 (approx),Chinese,North Indian,
Canteen Pub & Grub,4.1,"City Centre 1,",Salt Lake,"1,900 for 2 (approx)",Finger Food,Continental,Asian
Haka,4.2,"City Centre 1,",Salt Lake,900 for 2 (approx),Chinese,Beverages,Asian
Aminia,4.1,New Market,Central Kolkata,700 for 2 (approx),Awadhi,North Indian,
Alfresco,4.2,"The Lalit Great Eastern Kolkata,",B B D Bagh,"3,000 for 2 (approx)",North Indian,Continental,Chinese
Wow! Momo,4.1,"City Centre 1,",Salt Lake,400 for 2 (approx),Tibetan,Fast Food,
Le Coffee Creme,4.1,Salt Lake,East Kolkata,"1,000 for 2 (approx)",Continental,Italian,North Indian
K Local,4,"City Centre 1,",Salt Lake,"1,700 for 2 (approx)",Finger Food,North Indian,Fast Food
The Bakery,4,"The Lalit Great Eastern Kolkata,",B B D Bagh,"1,000 for 2 (approx)",Desserts,Italian,American
Calcutta Bakery Cafe,4,Salt Lake,East Kolkata,600 for 2 (approx),Chinese,Continental,Asian
Hogg's Room,,"The Lindsay Kolkata,",Dharmatala,700 for 2 (approx),Finger Food,Fast Food,
Bhojohori Manna,4,Esplanade,Central Kolkata,700 for 2 (approx),Bengali,,
Aami Bangali,,Esplanade,Central Kolkata,700 for 2 (approx),Bengali,,
Orkos Restaurant  And Lounge Bar,3.9,"City Centre 1,",Salt Lake,"2,200 for 2 (approx)",Chinese,North Indian,Continental
Wilson's,4,"The Lalit Great Eastern Kolkata,",B B D Bagh,"2,500 for 2 (approx)",Finger Food,,
The Scoop,3.8,"City Centre 1,",Salt Lake,500 for 2 (approx),Chinese,North Indian,Fast Food
The Sugarr and Spice,4,Salt Lake,East Kolkata,300 for 2 (approx),Desserts,Fast Food,
Aafreen Restaurant,4.3,Taltala,Central Kolkata,600 for 2 (approx),North Indian,Chinese,Mughlai
The Urban hive,,Taltala,Central Kolkata,"1,500 for 2 (approx)",Continental,Italian,Chinese
Unwine,4.2,"The Sonnet Hotel,",Salt Lake,"1,800 for 2 (approx)",North Indian,,
May Fair Bar & Restaurant,,Chandni Chowk,Central Kolkata,800 for 2 (approx),Chinese,North Indian,
Snaptown,4.2,Salt Lake,East Kolkata,800 for 2 (approx),North Indian,Chinese,Fast Food
Wow! Momo,,Shovabazar,North Kolkata,400 for 2 (approx),Tibetan,Fast Food,
