name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
Hi Bao,,Bidhannagar,East Kolkata,600 for 2 (approx),Asian,Chinese,Korean
Baithack - Taste Of Kulhad,,Salt Lake,East Kolkata,500 for 2 (approx),Fast Food,,
QFC - Quality Fried Chicken,,Kestopur,24 Parganas North,400 for 2 (approx),Fast Food,,
India Grillz,,Jessore Road,North Kolkata,"1,000 for 2 (approx)",North Indian,,
London Lounge,,Jadavpur,South Kolkata,400 for 2 (approx),Fast Food,,
Flurys,,"South City Mall,",Jadavpur,"1,300 for 2 (approx)",Desserts,Fast Food,
Nalin Chandra Das & Sons,,New Town,24 Parganas North,200 for 2 (approx),Desserts,,
The Lassi Corner,,Bhawanipur,South Kolkata,400 for 2 (approx),Fast Food,Beverages,
Balaram Mullick and Radharaman Mullick Sweets,,Prince Anwar Shah Road,South Kolkata,400 for 2 (approx),Desserts,,
Angie's Cafe,3.9,Prince Anwar Shah Road,South Kolkata,"1,200 for 2 (approx)",Continental,Italian,Fast Food
Cafe: Plot 15,,Jadavpur,South Kolkata,600 for 2 (approx),Chinese,Continental,Desserts
Biswa Bangla Gate,,New Town,24 Parganas North,"1,500 for 2 (approx)",North Indian,South Indian,Chinese
Vertex – The Liquid Restaurant,4,"Fairfield by Marriott,",New Town,"1,700 for 2 (approx)",Finger Food,,
Food Adda Restro Cafe,,Jadavpur,South Kolkata,900 for 2 (approx),Chinese,North Indian,
Cafe 75,,Ballygunge,South Kolkata,700 for 2 (approx),Asian,Continental,Italian
Wow! Momo,,E.M Bypass,East Kolkata,400 for 2 (approx),Tibetan,Fast Food,
Barista Coffee,,"Avani Riverside Mall,",Shibpur,500 for 2 (approx),Beverages,Desserts,Fast Food
Blue Bridge Cafe,,Ballygunge,South Kolkata,"1,000 for 2 (approx)",Continental,Italian,American
The Calcutta Street Fod,,Howrah,Howrah,400 for 2 (approx),Fast Food,North Indian,
Hangoutz Xpress,,Howrah,Howrah,700 for 2 (approx),Continental,Italian,American
Subway,3.6,New Alipore,South Kolkata,500 for 2 (approx),Fast Food,,
Flurys,,"Avani Riverside Mall,",Shibpur,300 for 2 (approx),Desserts,Fast Food,
Sharma Tea,,Ballygunge,South Kolkata,100 for 2 (approx),Street Food,Beverages,
Crossroad Cafe,4.2,Tollygunge,South Kolkata,800 for 2 (approx),Chinese,Pizza,Continental
Express By ABs,,Shibpur,Howrah,600 for 2 (approx),North Indian,Biryani,
Cream & Fudge,,"City Centre 2, New Town,",Rajarhat,400 for 2 (approx),Desserts,,
Flurys,,Ballygunge,South Kolkata,700 for 2 (approx),Desserts,,
Aami Bangali,,Liluah,Howrah,600 for 2 (approx),Bengali,,
Number 18,,Prince Anwar Shah Road,South Kolkata,700 for 2 (approx),North Indian,,
Naan Dosa Pavs,,Bidhannagar,East Kolkata,"1,300 for 2 (approx)",North Indian,South Indian,
Fiesta,,Santoshpur,South Kolkata,"1,000 for 2 (approx)",Chinese,Thai,
Margherita Bakes,,Gariahat,South Kolkata,800 for 2 (approx),Fast Food,Beverages,
Margherita Cafe,,Gariahat,South Kolkata,500 for 2 (approx),American,Fast Food,Beverages
Karim's Original from Delhi-6,4,Santoshpur,South Kolkata,700 for 2 (approx),North Indian,Mughlai,
Kava,3.9,"Fairfield by Marriott,",New Town,"2,500 for 2 (approx)",North Indian,Chinese,Continental
The Sugarr and Spice,,Rashbehari Avenue,South Kolkata,300 for 2 (approx),Desserts,Fast Food,
Mughal Darbar Restaurant,,Liluah,Howrah,500 for 2 (approx),North Indian,Chinese,Fast Food
Royal India Restaurant,,Salt Lake,East Kolkata,500 for 2 (approx),Chinese,North Indian,Biryani
THE OLDE HOUSE EATERY,,Southern Avenue,South Kolkata,"1,200 for 2 (approx)",Continental,North Indian,Italian
Poach,,Ballygunge,South Kolkata,"1,200 for 2 (approx)",Continental,North Indian,Beverages
Haji Ali,,Salt Lake,East Kolkata,600 for 2 (approx),North Indian,Chinese,Mughlai
China Green,,Salt Lake,East Kolkata,"1,000 for 2 (approx)",Chinese,North Indian,Seafood
Royal India Restaurant,,Salt Lake,East Kolkata,600 for 2 (approx),North Indian,Chinese,
Shikora-The tea hub,,Salt Lake,East Kolkata,200 for 2 (approx),Beverages,Desserts,
Chowman,4.2,Golf Green,South Kolkata,"1,000 for 2 (approx)",Chinese,Asian,Thai
Oye Balle Balle Dhaba,,Bhawanipur,South Kolkata,800 for 2 (approx),North Indian,Continental,Fast Food
KFC,,"City Centre 2, New Town,",Rajarhat,600 for 2 (approx),Burger,Fast Food,
Twisty The Boba Station,,Gariahat,South Kolkata,400 for 2 (approx),Beverages,,
Gastronomy - The Art of Spices,,Lake Gardens,South Kolkata,"1,000 for 2 (approx)",North Indian,Bengali,Beverages
Forkfull,,Ballygunge,South Kolkata,800 for 2 (approx),Continental,Chinese,Beverages
Trp - The Rocking Place,,Paddapukur,South Kolkata,"1,000 for 2 (approx)",North Indian,Chinese,Asian
Seasonings,4.3,Jadavpur,South Kolkata,500 for 2 (approx),Continental,Fast Food,
Shawarma Nation,,Prince Anwar Shah Road,South Kolkata,500 for 2 (approx),Lebanese,Middle Eastern,Burger
Drunken Monkey,4,"DLF Galleria,",New Town,400 for 2 (approx),Health Food,Beverages,
The Big Byang,4.1,Jadavpur,South Kolkata,400 for 2 (approx),Fast Food,,
Bhikharam Chandmal,,Bhawanipur,South Kolkata,200 for 2 (approx),Desserts,Fast Food,
Kasturi Restaurant,4,Rajarhat,24 Parganas North,700 for 2 (approx),Bengali,,
Barsha Restaurant,,Jessore Road,North Kolkata,600 for 2 (approx),North Indian,Chinese,Asian
The Chef,4,Jadavpur,South Kolkata,500 for 2 (approx),Bengali,Chinese,
Happy Dragon,,Sinthi,North Kolkata,600 for 2 (approx),Chinese,Asian,
Gupta Cafe,,Salt Lake,East Kolkata,200 for 2 (approx),Fast Food,,
Cake 24X7,,Bhawanipur,South Kolkata,600 for 2 (approx),Desserts,,
Kasturi Restaurant,3.8,Jadavpur,South Kolkata,700 for 2 (approx),Bengali,Seafood,
The Nest Cafe,3.9,Jadavpur,South Kolkata,500 for 2 (approx),Fast Food,Beverages,Chinese
THE CONGO,,Shibpur,Howrah,500 for 2 (approx),Chinese,Continental,North Indian
Nalin Chandra Das & Sons,,New Town,24 Parganas North,200 for 2 (approx),Desserts,,
FryDe Cafe,4,Belgharia,24 Parganas North,500 for 2 (approx),Pizza,Italian,Fast Food
Celebrations Restaurant,,Howrah,Howrah,500 for 2 (approx),Chinese,Fast Food,
Tomake Chai,,Bhawanipur,South Kolkata,"1,000 for 2 (approx)",Bengali,North Indian,
Foodizo,,Bidhannagar,East Kolkata,250 for 2 (approx),North Indian,Chinese,Italian
Mojo Pizza - 2X Toppings,,Kestopur,24 Parganas North,700 for 2 (approx),Italian,Fast Food,
Hao Chi,4.1,Santoshpur,South Kolkata,500 for 2 (approx),Chinese,North Indian,
The Silk Route,3.8,Golf Green,South Kolkata,800 for 2 (approx),Chinese,,
Tasty World Cafe,,Salt Lake,East Kolkata,900 for 2 (approx),Chinese,North Indian,
Keto Cafe,,Bhawanipur,South Kolkata,500 for 2 (approx),Continental,Italian,American
Pappu Chaiwalla,,Sarat Bose Road,South Kolkata,400 for 2 (approx),North Indian,Street Food,
Coffee World,3.8,Ajoy Nagar,South Kolkata,600 for 2 (approx),Fast Food,Beverages,
Chai Table,,Sarat Bose Road,South Kolkata,900 for 2 (approx),Asian,Fast Food,
RED PITCHERS,,Lake Gardens,South Kolkata,"1,500 for 2 (approx)",Continental,North Indian,Asian
Turkisyano,,Lake Gardens,South Kolkata,300 for 2 (approx),Desserts,,
Gokul Shree,,Alipore,South Kolkata,100 for 2 (approx),Street Food,,
Classic Fast Food Centre,,Baranagar,24 Parganas North,200 for 2 (approx),North Indian,,
Wow! China,4.3,Jadavpur,South Kolkata,700 for 2 (approx),Chinese,Asian,
Classic Fast Food Centre,,Baranagar,24 Parganas North,500 for 2 (approx),North Indian,Chinese,Fast Food
Bhooter Raja Dilo Bor,3.6,Jadavpur,South Kolkata,400 for 2 (approx),Bengali,,
The Tibetan Flavours,3.7,Rajarhat,24 Parganas North,500 for 2 (approx),Chinese,Tibetan,
Cakes,,New Alipore,South Kolkata,300 for 2 (approx),Desserts,,
Engima Lounge,,Ballygunge,South Kolkata,"1,000 for 2 (approx)",North Indian,Continental,
Machhli Baba Fries,,Shibpur,Howrah,400 for 2 (approx),Bengali,Fast Food,
Bawarchi Family Restaurant,3.6,Jadavpur,South Kolkata,900 for 2 (approx),Chinese,North Indian,Continental
SANTA BANTA - Delhi Wale Chole Kulche,,Paddapukur,South Kolkata,200 for 2 (approx),North Indian,Street Food,Beverages
King's Cafe,,Shibpur,Howrah,400 for 2 (approx),Fast Food,,
Calcutta Bistro,4.4,Jadavpur,South Kolkata,"1,000 for 2 (approx)",Chinese,North Indian,Continental
Just Fries,,Bhawanipur,South Kolkata,500 for 2 (approx),Fast Food,,
Dawat-E-Riyaz : Best Biriyani in Town,,Howrah,Howrah,"1,200 for 2 (approx)",North Indian,Fast Food,
Biriyani Bar,,New Town,24 Parganas North,500 for 2 (approx),North Indian,Biryani,
Chai Break - Zasu,,Ballygunge,South Kolkata,800 for 2 (approx),North Indian,Fast Food,Chinese
TEN: The Tapas Place,,"Zone by The Park,",New Town,"1,000 for 2 (approx)",Finger Food,,
Bazaar,,"Zone by The Park,",New Town,"1,000 for 2 (approx)",Chinese,Italian,North Indian
Ridhi Sidhi,,Salt Lake,East Kolkata,400 for 2 (approx),North Indian,South Indian,Chinese
The Quince Restaurant cum Bar Club,4.3,Behala,South Kolkata,"1,800 for 2 (approx)",Chinese,North Indian,
Earthen Tadcka,,Ballygunge,South Kolkata,"1,000 for 2 (approx)",Continental,Lebanese,
Suchali's Artisan Bakehouse,,Ballygunge,South Kolkata,"1,200 for 2 (approx)",Beverages,Desserts,American
Blue Tokai Coffee Roasters,,Ballygunge,South Kolkata,600 for 2 (approx),American,Desserts,Beverages
ALL IN ONE RESTAURANT,,New Town,24 Parganas North,300 for 2 (approx),Italian,Fast Food,
Suchali's Artisan Bakehouse,,Ballygunge,South Kolkata,"1,300 for 2 (approx)",Beverages,Desserts,American
Wow! Momo,3.9,Jadavpur,South Kolkata,400 for 2 (approx),Tibetan,Fast Food,
Golden Gate,4,Jadavpur,South Kolkata,700 for 2 (approx),Chinese,North Indian,Mughlai
Blue Tokai Coffee Roasters,,Ballygunge,South Kolkata,"1,300 for 2 (approx)",American,Desserts,Beverages
Just Baked,,Howrah,Howrah,350 for 2 (approx),North Indian,,
Bojangles,,Ballygunge,South Kolkata,"1,100 for 2 (approx)",American,Mexican,Fast Food
Zaareen,,Baguiati,24 Parganas North,500 for 2 (approx),Biryani,North Indian,
Serene Rooftop Cafe,,Salkia,Howrah,700 for 2 (approx),North Indian,Continental,Chinese
Zaareen,,Kestopur,24 Parganas North,500 for 2 (approx),Biryani,North Indian,
Just Baked,,Paddapukur,South Kolkata,500 for 2 (approx),North Indian,,
Wow! Momo,,Tollygunge,South Kolkata,400 for 2 (approx),Tibetan,Fast Food,
Fried Chicken Wala,,Shibpur,Howrah,300 for 2 (approx),Chinese,Fast Food,Italian
Kake Di Hatti - Since 1942 - Pure Veg,,Bhawanipur,South Kolkata,"1,200 for 2 (approx)",North Indian,Chinese,Mughlai
Wow! Momo,3.8,E M Bypass,South Kolkata,400 for 2 (approx),Tibetan,Fast Food,
That Red House Bistro And Cafe,,Gariahat,South Kolkata,900 for 2 (approx),Continental,,
Spice Edge,,Dumdum,24 Parganas North,400 for 2 (approx),North Indian,Chinese,Fast Food
Foodie Folks,,Gariahat,South Kolkata,400 for 2 (approx),Italian,Fast Food,Beverages
Tandav Resto Pub & Lounge,,Kasba,South Kolkata,"2,200 for 2 (approx)",North Indian,Continental,Chinese
Lobby Bar,,"Zone by The Park,",New Town,"1,500 for 2 (approx)",Finger Food,,
Cafe TOV,,Santoshpur,South Kolkata,800 for 2 (approx),Korean,,
Box8 - Desi Meals,,Kestopur,24 Parganas North,500 for 2 (approx),North Indian,Fast Food,
Moodbox Cafe And Bakery,,Baguiati,24 Parganas North,"1,000 for 2 (approx)",Iranian,American,
Bawarchi Fast Food,,Ajoy Nagar,South Kolkata,800 for 2 (approx),Fast Food,,
Monginis,,Belgharia,24 Parganas North,400 for 2 (approx),Desserts,Fast Food,
Bangorasana Bengali Cuisine,,Kasba,South Kolkata,600 for 2 (approx),Bengali,North Indian,Desserts
The Food Junction,,Dumdum,24 Parganas North,600 for 2 (approx),North Indian,Chinese,
Suchali's Artisan Bakehouse,,Bidhannagar,East Kolkata,"1,200 for 2 (approx)",Beverages,American,Desserts
The Royal Bengal Tiger Cafe,4.1,Tollygunge,South Kolkata,500 for 2 (approx),Fast Food,Bengali,
Tero Parbon,,Hindustan Park,South Kolkata,500 for 2 (approx),Bengali,Desserts,
Yummy Treats,,Dumdum,24 Parganas North,600 for 2 (approx),North Indian,Chinese,Asian
Aami Bangali,4,Santoshpur,South Kolkata,700 for 2 (approx),Bengali,,
The Galley,,New Town,24 Parganas North,300 for 2 (approx),Fast Food,,
Damn! Yumm!,,Dumdum,24 Parganas North,500 for 2 (approx),Chinese,Fast Food,
Wow! Momo,3.7,Santoshpur,South Kolkata,400 for 2 (approx),Tibetan,Fast Food,
Seasonal Tastes,4.3,"The Westin Kolkata Rajarha,",Rajarhat,"2,600 for 2 (approx)",European,Mediterranean,Asian
Cafe Vairagi,,Jadavpur,South Kolkata,900 for 2 (approx),Italian,Chinese,Fast Food
Eddy's Cafe,,Kalighat,South Kolkata,"1,000 for 2 (approx)",North Indian,Continental,Italian
Tai Chi 8,,Ballygunge,South Kolkata,"1,000 for 2 (approx)",Chinese,Asian,North Indian
June's Cafe,,Sarat Bose Road,South Kolkata,"1,400 for 2 (approx)",Chinese,Fast Food,
Nori,4.3,"The Westin Kolkata Rajarhat,",New Town,"3,300 for 2 (approx)",Japanese,Asian,
"31 32, Westin",3.9,"The Westin Kolkata Rajarha,",Rajarhat,"2,200 for 2 (approx)",Finger Food,Italian,North Indian
Blue Tokai Coffee Roasters,,Salt Lake,East Kolkata,"1,200 for 2 (approx)",American,Desserts,Beverages
Baskin Robbins,,Ballygunge,South Kolkata,300 for 2 (approx),Desserts,,
Am:Pm Multicuisine Restro,,Dumdum,24 Parganas North,600 for 2 (approx),North Indian,Bengali,Chinese
PPurple Turtle,,Dhakuria,South Kolkata,"1,200 for 2 (approx)",Continental,North Indian,Fast Food
Kiraanz - Oasis of Taste,4.2,New Town,24 Parganas North,"1,500 for 2 (approx)",Continental,North Indian,Italian
Julie & Julia,,Ballygunge,South Kolkata,700 for 2 (approx),Chinese,Asian,
Sivalika Kitchen,,Howrah,Howrah,700 for 2 (approx),Bengali,Chinese,North Indian
Shanghai - Flavours Of China Town,,Behala,South Kolkata,800 for 2 (approx),Chinese,,
Rath,,Belgharia,24 Parganas North,900 for 2 (approx),North Indian,Bengali,Chinese
So Southy,,Salt Lake,East Kolkata,500 for 2 (approx),South Indian,,
Machhli Baba Fries,,Ballygunge,South Kolkata,400 for 2 (approx),Bengali,Fast Food,
The Tenzing Bowl,,Kalikapur,South Kolkata,600 for 2 (approx),Chinese,,
So Southy,,Salt Lake,East Kolkata,599 for 2 (approx),Chinese,South Indian,
Flurys,,Hindustan Park,South Kolkata,300 for 2 (approx),Desserts,Fast Food,
Cakes,,Gariahat,South Kolkata,300 for 2 (approx),Desserts,,
Forkfull,,Kasba,South Kolkata,800 for 2 (approx),Continental,Chinese,Beverages
Margherita Rooftop,,Gariahat,South Kolkata,500 for 2 (approx),Fast Food,Beverages,
Sweet Tooth Cakes,,Kasba,South Kolkata,600 for 2 (approx),Fast Food,Desserts,
Emoji,,New Town,24 Parganas North,500 for 2 (approx),North Indian,Chinese,
Zaatar,,Ballygunge,South Kolkata,600 for 2 (approx),North Indian,Arabian,
The Sugarr and Spice,,Kasba,South Kolkata,300 for 2 (approx),Desserts,Fast Food,
Love To Eat,,Kasba,South Kolkata,500 for 2 (approx),Chinese,Fast Food,
Baskin Robbins,,E.M Bypass,East Kolkata,300 for 2 (approx),Desserts,,
Lepchas,,Gariahat,South Kolkata,300 for 2 (approx),Chinese,North Indian,
Baskin Robbins,,Kasba,South Kolkata,300 for 2 (approx),Desserts,,
Flurys,,Kasba,South Kolkata,300 for 2 (approx),Desserts,Fast Food,
Sholo Ana Bangali,,"Techno Tower,",Prince Anwar Shah Road,700 for 2 (approx),Bengali,,
Salt,,Kasba,South Kolkata,"1,000 for 2 (approx)",North Indian,Chinese,Continental
The Bhawanipur House,,Bhawanipur,South Kolkata,"2,500 for 2 (approx)",Continental,North Indian,Italian
Malt,4.1,New Town,24 Parganas North,"1,100 for 2 (approx)",Modern Indian,North Indian,Fast Food
Curry Leaves,,Bhawanipur,South Kolkata,700 for 2 (approx),South Indian,,
Brown Burger Co.,,Gariahat,South Kolkata,600 for 2 (approx),Burger,Fast Food,
Bijoli Grill,,Bhawanipur,South Kolkata,500 for 2 (approx),Bengali,Chinese,Seafood
Kutumbakam Cafe & Restro,,Salt Lake,East Kolkata,700 for 2 (approx),Continental,Italian,North Indian
Food Garage,,Shibpur,Howrah,400 for 2 (approx),Fast Food,Italian,Beverages
Stump Town,,Bidhannagar,East Kolkata,"1,000 for 2 (approx)",Fast Food,Beverages,Desserts
Biryani By Kilo,,Golpark,South Kolkata,600 for 2 (approx),North Indian,South Indian,
Friends Cafeteria,4.2,Golf Green,South Kolkata,900 for 2 (approx),Pizza,Continental,
Lassi Shop,,Salt Lake,East Kolkata,200 for 2 (approx),Beverages,,
Karma  Kettle,,Golpark,South Kolkata,"1,200 for 2 (approx)",Italian,Fast Food,
Naanzza,,Gariahat,South Kolkata,800 for 2 (approx),North Indian,Italian,
Pizza Hut Express,,New Town,24 Parganas North,400 for 2 (approx),Italian,,
Bawarchi Fast Food,3.5,Baghajatin,South Kolkata,700 for 2 (approx),Fast Food,,
Soy Yum,,Ballygunge,South Kolkata,"1,800 for 2 (approx)",Asian,,
The Biryani Story,,Kasba,South Kolkata,600 for 2 (approx),Biryani,North Indian,
Ganguram,,Baguiati,24 Parganas North,300 for 2 (approx),Desserts,Street Food,
Aminia,4.2,Behala,South Kolkata,700 for 2 (approx),Awadhi,North Indian,
Mehmaan,,New Town,24 Parganas North,700 for 2 (approx),Chinese,North Indian,Bengali
Crave Foodworks,,Gariahat,South Kolkata,500 for 2 (approx),Chinese,Italian,
Bawarchi Fast Food,,Jadavpur,South Kolkata,800 for 2 (approx),Fast Food,,
Airport City Hotel,4.3,Dumdum,24 Parganas North,800 for 2 (approx),Chinese,North Indian,Continental
Somponno Cafe,,Alipore,South Kolkata,"1,000 for 2 (approx)",North Indian,South Indian,Chinese
Galouti,,Ballygunge,South Kolkata,500 for 2 (approx),North Indian,Biryani,Mughlai
Dunlop Hotel & Restaurant,,Baranagar,24 Parganas North,600 for 2 (approx),Chinese,North Indian,
Grill to Chill,,Uttarpara,Howrah,800 for 2 (approx),Chinese,North Indian,
KFC,,Hindustan Park,South Kolkata,600 for 2 (approx),Burger,Fast Food,
Klubb 10 - The Sky Lounge,,Gariahat,South Kolkata,"1,300 for 2 (approx)",North Indian,Asian,Continental
Rooster Delights,,Kasba,South Kolkata,250 for 2 (approx),Fast Food,Burger,
The Orizzonte,,Kasba,South Kolkata,"1,400 for 2 (approx)",North Indian,Italian,Chinese
Rang De Basanti Dhaba,,Kasba,South Kolkata,700 for 2 (approx),North Indian,,
Hollywood Cafe,,Kasba,South Kolkata,800 for 2 (approx),North Indian,,
Dzomsa,,Ballygunge,South Kolkata,700 for 2 (approx),Tibetan,Chinese,Continental
Haji Ali,4,Santoshpur,South Kolkata,600 for 2 (approx),Mughlai,Chinese,North Indian
Grill N Wheel,,Shibpur,Howrah,600 for 2 (approx),North Indian,Fast Food,
Petuk,,Kalighat,South Kolkata,500 for 2 (approx),North Indian,Chinese,
Sabeki - The Brew Alchemist,,Ballygunge,South Kolkata,700 for 2 (approx),Continental,Italian,American
Wow! Momo,4,Tollygunge,South Kolkata,400 for 2 (approx),Tibetan,Fast Food,
Zoom Teaography,,Gariahat,South Kolkata,600 for 2 (approx),Italian,Fast Food,Beverages
Arsalan,,Kasba,South Kolkata,700 for 2 (approx),Biryani,Mughlai,North Indian
The Sugarr and Spice,,Hazra,South Kolkata,300 for 2 (approx),Desserts,Fast Food,
The Sugarr and Spice,,Baranagar,24 Parganas North,300 for 2 (approx),Desserts,Fast Food,
The Sugarr and Spice,,Teghoria,24 Parganas North,300 for 2 (approx),Desserts,Fast Food,
Kitchen Pandit,,Kasba,South Kolkata,700 for 2 (approx),Bengali,Continental,Chinese
Leena's Cafe,,Hazra,South Kolkata,300 for 2 (approx),Chinese,North Indian,
Bonne Femme,,Ballygunge,South Kolkata,"1,000 for 2 (approx)",Asian,Continental,
Soul Of Bengal,,Kalikapur,South Kolkata,"1,200 for 2 (approx)",North Indian,,
Cafe Kabira,3.7,Jadavpur,South Kolkata,600 for 2 (approx),Fast Food,,
Flurys,,Bhawanipur,South Kolkata,300 for 2 (approx),Desserts,Fast Food,
Bread Box,,Gariahat,South Kolkata,600 for 2 (approx),Fast Food,Desserts,
The Biryani Story,,Golpark,South Kolkata,"1,000 for 2 (approx)",North Indian,Chettinad,
Drunken Monkey,,Desapriya Park,South Kolkata,400 for 2 (approx),Fast Food,Mexican,Beverages
Cup eBong,,Gariahat,South Kolkata,"1,200 for 2 (approx)",Continental,American,
Blu Orchid,,Ballygunge,South Kolkata,700 for 2 (approx),Chinese,,
First Flush,,Gariahat,South Kolkata,700 for 2 (approx),Chinese,Continental,Fast Food
Hatari,4,Golf Green,South Kolkata,"1,000 for 2 (approx)",Chinese,North Indian,
Flavour Of Spices,,Gariahat,South Kolkata,"1,200 for 2 (approx)",North Indian,Chinese,Asian
Cafe Coffee Day,3.7,Golf Green,South Kolkata,900 for 2 (approx),Beverages,Fast Food,
Light House Cafe,,Golpark,South Kolkata,900 for 2 (approx),Fast Food,Beverages,
Kahhak Creamery,,Ballygunge,South Kolkata,400 for 2 (approx),Desserts,,
KIMLI,,Hindustan Park,South Kolkata,"1,200 for 2 (approx)",Chinese,Seafood,Fast Food
Calcutta Bakery Cafe,4.2,Baghajatin,South Kolkata,600 for 2 (approx),Chinese,Continental,Asian
Khaao Gully,,Hazra,South Kolkata,500 for 2 (approx),North Indian,Chinese,Fast Food
Omo Bistro & Enoteca,,Desapriya Park,South Kolkata,"1,000 for 2 (approx)",European,,
Kitchen Culture,,Hazra,South Kolkata,500 for 2 (approx),North Indian,Chinese,Fast Food
Mach Magic,,Golpark,South Kolkata,500 for 2 (approx),Bengali,,
Caff@rea,,Hazra,South Kolkata,500 for 2 (approx),Continental,Chinese,
The Yellow Straw,,"Pecon Tower,",Rajarhat,300 for 2 (approx),Fast Food,,
Rasona Tripti,,Howrah,Howrah,800 for 2 (approx),North Indian,Chinese,
Boba Panda,,Bramhapur,South Kolkata,"1,500 for 2 (approx)",Italian,,
Flurys,,New Town,24 Parganas North,300 for 2 (approx),Desserts,Fast Food,
Baithack - Taste Of Kulhad,,Kalighat,South Kolkata,600 for 2 (approx),Fast Food,Continental,Beverages
Gazab Ba Restaurant,,Rajarhat,24 Parganas North,500 for 2 (approx),Chinese,North Indian,
Punjabiyat Restaurants & Banquest,,Dumdum,24 Parganas North,500 for 2 (approx),North Indian,Fast Food,
Tandoori Darbar,,Hazra,South Kolkata,"1,200 for 2 (approx)",North Indian,Chinese,Asian
24 Ave Pizza,4.2,Tollygunge,South Kolkata,500 for 2 (approx),Fast Food,,
Chai Addaa,3.7,Golf Green,South Kolkata,500 for 2 (approx),Fast Food,Tea,
KAANJI,,Howrah,Howrah,450 for 2 (approx),South Indian,,
The Chaiwala,3.9,Tollygunge,South Kolkata,800 for 2 (approx),Fast Food,Beverages,Desserts
Tapaste -The Spanish Cafe,,Gariahat,South Kolkata,700 for 2 (approx),Spanish,,
Sannidhya Restaurant,,Shibpur,Howrah,600 for 2 (approx),North Indian,,
Flurys,,Alipore,South Kolkata,"1,300 for 2 (approx)",Desserts,Fast Food,
Hondo's,,Jodhpur Park,South Kolkata,900 for 2 (approx),Continental,Italian,Chinese
YOMARI,,Golpark,South Kolkata,"1,200 for 2 (approx)",Asian,,
Marina Creek,,Golpark,South Kolkata,800 for 2 (approx),North Indian,Chinese,Asian
Pronto Gourmet Food,,Gariahat,South Kolkata,600 for 2 (approx),Chinese,Pizza,Desserts
Chai Coffee,,Gariahat,South Kolkata,500 for 2 (approx),North Indian,,
Cocoberry,,Hindustan Park,South Kolkata,400 for 2 (approx),Desserts,,
Baskin Robbins,,Hindustan Park,South Kolkata,300 for 2 (approx),Desserts,,
Utsav Restaurant,,Hazra,South Kolkata,700 for 2 (approx),Chinese,North Indian,Continental
KFC,,"Metropolis Mall,",Santoshpur,600 for 2 (approx),Burger,Fast Food,
Belle Amore,,Kalighat,South Kolkata,"1,000 for 2 (approx)",Chinese,Asian,Italian
Uns Cafe & Dining,,Hindustan Park,South Kolkata,"1,200 for 2 (approx)",North Indian,Bengali,Awadhi
Jugaadu Chaiwala,,Golpark,South Kolkata,500 for 2 (approx),Asian,Italian,Fast Food
Cafe Ektara,,Southern Avenue,South Kolkata,500 for 2 (approx),Fast Food,Beverages,
Flurys,,Golpark,South Kolkata,"2,000 for 2 (approx)",Desserts,Fast Food,
Gungchill By Fishy Fills,,Golpark,South Kolkata,"1,200 for 2 (approx)",Fast Food,North Indian,Asian
Kahhak Eatery,,Ballygunge,South Kolkata,"1,000 for 2 (approx)",Japanese,Asian,Beverages
De Coffee Time,,Desapriya Park,South Kolkata,500 for 2 (approx),Continental,Italian,American
Kings Bakery,,Gariahat,South Kolkata,900 for 2 (approx),Asian,Fast Food,
Zed Sky Lounge Cafe,,Howrah,Howrah,"1,500 for 2 (approx)",Continental,Italian,American
Hababa's,,Dhakuria,South Kolkata,600 for 2 (approx),North Indian,South Indian,
The Heist Chapter 1,,Rashbehari Avenue,South Kolkata,600 for 2 (approx),Continental,Beverages,North Indian
Suchali's Artisan Bakehouse,,Gariahat,South Kolkata,"1,200 for 2 (approx)",American,Desserts,Beverages
Cafe By The Way,,Kalighat,South Kolkata,800 for 2 (approx),Fast Food,Beverages,Continental
Blue Tokai Coffee Roasters,,Gariahat,South Kolkata,"1,300 for 2 (approx)",American,Desserts,Beverages
THE RED BARI,,Kalighat,South Kolkata,800 for 2 (approx),Continental,American,Italian
Just Baked,,Kalighat,South Kolkata,500 for 2 (approx),North Indian,,
Golpark Er Adda,,Gariahat,South Kolkata,400 for 2 (approx),Fast Food,Chinese,
Momoto,,Gariahat,South Kolkata,500 for 2 (approx),Chinese,Beverages,
Armaan's Cafe,,Ballygunge,South Kolkata,500 for 2 (approx),Italian,Fast Food,Beverages
The Sugarr and Spice,,Baghajatin,South Kolkata,300 for 2 (approx),Desserts,Fast Food,
Armaan's Cafe,,Hindustan Park,South Kolkata,500 for 2 (approx),Fast Food,Pizza,Chinese
Gorabazar Bites,,Dumdum,24 Parganas North,700 for 2 (approx),North Indian,Chinese,Fast Food
Wow! Momo,4,Reach Garden,Central Kolkata,400 for 2 (approx),Tibetan,Fast Food,
FNP Cakes,,Alipore,South Kolkata,500 for 2 (approx),Desserts,,
Hunger Harbour Cafe Kitchen,,Hindustan Park,South Kolkata,800 for 2 (approx),Chinese,Asian,Continental
Garden Cafe Express,,Southern Avenue,South Kolkata,500 for 2 (approx),South Indian,Fast Food,
L'Instant Cafe,4,Tollygunge,South Kolkata,800 for 2 (approx),Continental,Italian,Desserts
Chowman,,Birati,24 Parganas North,"1,000 for 2 (approx)",Chinese,,
Flurys,,"Acropolis Mall,",Kasba,"1,300 for 2 (approx)",Desserts,Fast Food,
